time	valores	x	y	optional
23	80	-8.66638888	-35.56805554	TRUE
24	82	-8.66638888	-35.56805554	TRUE
1	74	-3.12083332	-40.08694444	TRUE
2	77	-3.12083332	-40.08694444	TRUE
3	81	-3.12083332	-40.08694444	TRUE
4	84	-3.12083332	-40.08694444	TRUE
5	86	-3.12083332	-40.08694444	TRUE
6	87	-3.12083332	-40.08694444	TRUE
7	88	-3.12083332	-40.08694444	TRUE
8	88	-3.12083332	-40.08694444	TRUE
9	87	-3.12083332	-40.08694444	TRUE
10	85	-3.12083332	-40.08694444	TRUE
11	71	-3.12083332	-40.08694444	TRUE
12	61	-3.12083332	-40.08694444	TRUE
13	50	-3.12083332	-40.08694444	TRUE
14	43	-3.12083332	-40.08694444	TRUE
15	38	-3.12083332	-40.08694444	TRUE
16	37	-3.12083332	-40.08694444	TRUE
17	37	-3.12083332	-40.08694444	TRUE
18	35	-3.12083332	-40.08694444	TRUE
19	34	-3.12083332	-40.08694444	TRUE
20	36	-3.12083332	-40.08694444	TRUE
21	42	-3.12083332	-40.08694444	TRUE
22	54	-3.12083332	-40.08694444	TRUE
23	67	-3.12083332	-40.08694444	TRUE
24	71	-3.12083332	-40.08694444	TRUE
1	77	-7.83694444	-35.7961111	TRUE
2	80	-7.83694444	-35.7961111	TRUE
3	83	-7.83694444	-35.7961111	TRUE
4	84	-7.83694444	-35.7961111	TRUE
5	82	-7.83694444	-35.7961111	TRUE
6	82	-7.83694444	-35.7961111	TRUE
7	80	-7.83694444	-35.7961111	TRUE
8	81	-7.83694444	-35.7961111	TRUE
9	82	-7.83694444	-35.7961111	TRUE
10	80	-7.83694444	-35.7961111	TRUE
11	69	-7.83694444	-35.7961111	TRUE
12	62	-7.83694444	-35.7961111	TRUE
13	51	-7.83694444	-35.7961111	TRUE
14	47	-7.83694444	-35.7961111	TRUE
15	35	-7.83694444	-35.7961111	TRUE
16	34	-7.83694444	-35.7961111	TRUE
17	38	-7.83694444	-35.7961111	TRUE
18	40	-7.83694444	-35.7961111	TRUE
19	45	-7.83694444	-35.7961111	TRUE
20	60	-7.83694444	-35.7961111	TRUE
21	59	-7.83694444	-35.7961111	TRUE
22	63	-7.83694444	-35.7961111	TRUE
23	68	-7.83694444	-35.7961111	TRUE
24	71	-7.83694444	-35.7961111	TRUE
1	70	-17.73333333	-39.26666666	TRUE
2	70	-17.73333333	-39.26666666	TRUE
3	74	-17.73333333	-39.26666666	TRUE
4	76	-17.73333333	-39.26666666	TRUE
5	78	-17.73333333	-39.26666666	TRUE
6	83	-17.73333333	-39.26666666	TRUE
7	76	-17.73333333	-39.26666666	TRUE
8	75	-17.73333333	-39.26666666	TRUE
9	75	-17.73333333	-39.26666666	TRUE
10	74	-17.73333333	-39.26666666	TRUE
11	70	-17.73333333	-39.26666666	TRUE
12	69	-17.73333333	-39.26666666	TRUE
13	69	-17.73333333	-39.26666666	TRUE
14	69	-17.73333333	-39.26666666	TRUE
15	61	-17.73333333	-39.26666666	TRUE
16	64	-17.73333333	-39.26666666	TRUE
17	63	-17.73333333	-39.26666666	TRUE
18	67	-17.73333333	-39.26666666	TRUE
19	70	-17.73333333	-39.26666666	TRUE
20	71	-17.73333333	-39.26666666	TRUE
21	75	-17.73333333	-39.26666666	TRUE
22	81	-17.73333333	-39.26666666	TRUE
23	82	-17.73333333	-39.26666666	TRUE
24	79	-17.73333333	-39.26666666	TRUE
1	73	-5.16	-35.45416666	TRUE
2	73	-5.16	-35.45416666	TRUE
3	74	-5.16	-35.45416666	TRUE
4	74	-5.16	-35.45416666	TRUE
5	72	-5.16	-35.45416666	TRUE
6	73	-5.16	-35.45416666	TRUE
7	72	-5.16	-35.45416666	TRUE
8	73	-5.16	-35.45416666	TRUE
9	70	-5.16	-35.45416666	TRUE
10	73	-5.16	-35.45416666	TRUE
11	64	-5.16	-35.45416666	TRUE
12	61	-5.16	-35.45416666	TRUE
13	63	-5.16	-35.45416666	TRUE
14	62	-5.16	-35.45416666	TRUE
15	56	-5.16	-35.45416666	TRUE
16	59	-5.16	-35.45416666	TRUE
17	56	-5.16	-35.45416666	TRUE
18	55	-5.16	-35.45416666	TRUE
19	55	-5.16	-35.45416666	TRUE
20	62	-5.16	-35.45416666	TRUE
21	64	-5.16	-35.45416666	TRUE
22	68	-5.16	-35.45416666	TRUE
23	67	-5.16	-35.45416666	TRUE
24	69	-5.16	-35.45416666	TRUE
1	-9999	-7.95361111	-38.29472221	TRUE
2	-9999	-7.95361111	-38.29472221	TRUE
3	-9999	-7.95361111	-38.29472221	TRUE
4	-9999	-7.95361111	-38.29472221	TRUE
5	-9999	-7.95361111	-38.29472221	TRUE
6	-9999	-7.95361111	-38.29472221	TRUE
7	-9999	-7.95361111	-38.29472221	TRUE
8	-9999	-7.95361111	-38.29472221	TRUE
9	-9999	-7.95361111	-38.29472221	TRUE
10	-9999	-7.95361111	-38.29472221	TRUE
11	61	-7.95361111	-38.29472221	TRUE
12	52	-7.95361111	-38.29472221	TRUE
13	40	-7.95361111	-38.29472221	TRUE
14	32	-7.95361111	-38.29472221	TRUE
15	27	-7.95361111	-38.29472221	TRUE
